上市,5533,皇鼎,1998,1999/04/30,1999/07/06,,1999/07/06,,,0.5,0,0.5,3,0,3,3.5
上市,5533,皇鼎,1999,2000/04/28,,,2000/05/25,,,0,0,0,3.5,0,3.5,3.5
上市,5533,皇鼎,2000,2001/05/25,2001/08/16,9.65,2001/08/16,9.65,,1,0,1,1.5,0,1.5,2.5
上市,5533,皇鼎,2001,2002/04/26,2002/05/15,11.3,,,,1.8,0,1.8,0,0,0,1.8
上市,5533,皇鼎,2002,2003/04/29,2003/05/16,5.6,,,,0.7,0,0.7,0,0,0,0.7
上市,5533,皇鼎,2003,2004/06/11,2004/07/01,7.7,,,,0.3,0,0.3,0,0,0,0.3
上市,5533,皇鼎,2004,2005/05/06,2005/07/18,11.15,2005/07/18,11.15,,0.5,0,0.5,0,0.3,0.3,0.8
上市,5533,皇鼎,2005,2006/06/09,2006/07/12,21.94,2006/07/12,21.94,,0.8,0,0.8,0.35,0.2,0.55,1.35
上市,5533,皇鼎,2006,2007/06/15,2007/07/17,23.78,2007/07/17,23.78,,0.8,0,0.8,1.5,0,1.5,2.3
上市,5533,皇鼎,2007,2008/04/07,2008/05/23,28.95,2008/05/23,28.95,,0.8,0,0.8,1.5,0,1.5,2.3
上市,5533,皇鼎,2008,2009/06/23,2009/07/24,22.6,2009/07/24,22.6,,0.5,0,0.5,0.7,0,0.7,1.2
上市,5533,皇鼎,2009,2010/06/15,2010/07/22,19.65,2010/07/22,19.65,,0.6,0,0.6,0.9,0,0.9,1.5
上市,5533,皇鼎,2010,2011/06/09,2011/07/15,22.2,2011/07/15,22.2,,0.6,0,0.6,0.9,0,0.9,1.5
上市,5533,皇鼎,2011,2012/06/05,2012/07/12,16.6,2012/07/12,16.6,,0.5,0,0.5,0.7,0,0.7,1.2
上市,5533,皇鼎,2012,2013/06/10,2013/07/15,18.85,2013/07/15,18.85,,0.5,0,0.5,0.7,0,0.7,1.2
上市,5533,皇鼎,2013,2014/06/06,2014/07/15,17.8,2014/07/15,17.8,,0.5,0,0.5,0.5,0,0.5,1
上市,5533,皇鼎,2014,2015/06/11,2015/07/21,18.1,2015/07/21,18.1,2015/08/14,0.6,0,0.6,0.6,0,0.6,1.2
上市,5533,皇鼎,2015,2016/06/06,2016/07/14,15.75,2016/07/14,15.75,2016/08/09,0.5,0,0.5,0.5,0,0.5,1
上市,5533,皇鼎,2016,2017/06/06,2017/06/22,14.85,,,2017/07/12,0.65,0,0.65,0,0,0,0.65
