上市,6189,豐藝,1999,2000/05/12,,,2000/08/11,,,0,0,0,3,0,3,3
上市,6189,豐藝,2000,2001/05/24,,,2001/08/06,,,0,0,0,2.5,0,2.5,2.5
上市,6189,豐藝,2001,2002/05/28,,,2002/12/17,42.5,,0,0,0,3.15,0.05,3.2,3.2
上市,6189,豐藝,2002,2003/05/15,2003/07/08,41.1,2003/07/08,41.1,,1,0,1,1.85,0.84,2.69,3.69
上市,6189,豐藝,2003,2004/06/11,2004/08/18,38.9,2004/08/18,38.9,,1.4,0,1.4,2.5,0,2.5,3.9
上市,6189,豐藝,2004,2005/06/03,2005/08/03,34.7,2005/08/03,34.7,,1.5,0,1.5,1.35,0.65,2,3.5
上市,6189,豐藝,2005,2006/06/15,2006/09/07,27.75,2006/09/07,27.75,,2,0,2,1.15,0.35,1.5,3.49
上市,6189,豐藝,2006,2007/06/13,2007/08/09,36.6,2007/08/09,36.6,,1.4,0,1.4,0.96,0.91,1.87,3.27
上市,6189,豐藝,2007,2008/06/13,2008/07/30,21.25,2008/07/30,21.25,,2.5,0,2.5,0.4,0.1,0.5,3
上市,6189,豐藝,2008,2009/06/10,2009/07/01,16.85,,,,1.6,0,1.6,0,0,0,1.6
上市,6189,豐藝,2009,2010/06/15,2010/07/02,24.1,,,,2,0,2,0,0,0,2
上市,6189,豐藝,2010,2011/06/22,2011/07/11,20.7,,,,2,0,2,0,0,0,2
上市,6189,豐藝,2011,2012/06/27,2012/07/20,22.4,,,,2.2,0,2.2,0,0,0,2.2
上市,6189,豐藝,2012,2013/06/10,2013/07/10,26.6,,,,2.2,0,2.2,0,0,0,2.2
上市,6189,豐藝,2013,2014/06/12,2014/07/01,36.75,,,,2.9,0.1,3,0,0,0,3
上市,6189,豐藝,2014,2015/06/12,2015/07/03,33.15,,,2015/09/10,3.11,0.09,3.2,0,0,0,3.2
上市,6189,豐藝,2015,2016/06/14,2016/07/21,32.5,,,2016/08/25,2.91,0.09,3,0,0,0,3
上市,6189,豐藝,2016,2017/06/22,2017/07/20,28.25,,,2017/08/24,2.23,0.07,2.3,0,0,0,2.3
