上市,2881,富邦金,2001,2002/06/10,2002/06/20,31,,,,1,0,1,0,0,0,1
上市,2881,富邦金,2002,2003/06/06,2003/07/22,25.4,,,,1.2,0,1.2,0,0,0,1.2
上市,2881,富邦金,2003,2004/06/03,2004/07/21,27.7,,,,1.6,0,1.6,0,0,0,1.6
上市,2881,富邦金,2004,2005/06/03,2005/07/21,30.25,,,,1.7,0,1.7,0,0,0,1.7
上市,2881,富邦金,2005,2006/06/09,2006/07/20,25.35,,,,1.15,0,1.15,0,0,0,1.15
上市,2881,富邦金,2006,2007/06/15,2007/07/19,32.7,,,,1,0,1,0,0,0,1
上市,2881,富邦金,2007,2008/06/13,2008/07/03,28,,,,1.5,0,1.5,0,0,0,1.5
上市,2881,富邦金,2009,2010/06/25,2010/08/11,37.35,2010/08/11,37.35,,2,0,2,0.5,0,0.5,2.5
上市,2881,富邦金,2010,2011/06/24,2011/08/17,41.35,2011/08/17,41.35,,1,0,1,0.5,0,0.5,1.5
上市,2881,富邦金,2011,2012/06/15,2012/08/09,29.5,2012/08/09,29.5,,1,0,1,0.5,0,0.5,1.5
上市,2881,富邦金,2012,2013/06/14,2013/07/01,39.85,,,,1,0,1,0,0,0,1
上市,2881,富邦金,2013,2014/06/06,2014/06/23,41.8,,,,1.5,0,1.5,0,0,0,1.5
上市,2881,富邦金,2014,2015/06/12,2015/06/30,59.7,,,2015/07/24,3,0,3,0,0,0,3
上市,2881,富邦金,2015,2016/06/08,2016/06/27,36.2,,,2016/07/21,2,0,2,0,0,0,2
上市,2881,富邦金,2016,2017/06/16,2017/07/03,46.45,,,2017/07/28,2,0,2,0,0,0,2
