上市,2325,矽品,1990,1991/06/24,1991/07/15,,1991/08/05,,,0.3,0,0.3,2,0,2,2.3
上市,2325,矽品,1991,1992/03/20,1992/04/24,,1992/07/21,,,0.3,0,0.3,1,0,1,1.3
上市,2325,矽品,1992,1993/03/22,,,1993/06/05,53.5,,0,0,0,2.5,0,2.5,2.5
上市,2325,矽品,1993,1994/05/06,,,1994/06/15,90.5,,0,0,0,3,0,3,3
上市,2325,矽品,1994,1995/04/26,,,1995/05/26,,,0,0,0,3,1,4,4
上市,2325,矽品,1995,1996/04/29,,,1996/05/24,40.7,,0,0,0,3,3,6,6
上市,2325,矽品,1996,1997/04/22,,,1997/05/21,63,,0,0,0,2.8,1.2,4,4
上市,2325,矽品,1997,1998/04/15,,,1998/05/21,,,0,0,0,2.2,1.4,3.6,3.6
上市,2325,矽品,1998,1999/04/02,,,1999/05/10,44.7,,0,0,0,1.49,0.81,2.3,2.3
上市,2325,矽品,1999,2000/06/15,,,2000/07/28,50.5,,0,0,0,1.1,0.3,1.4,1.4
上市,2325,矽品,2000,2001/05/30,,,2001/07/20,16.1,,0,0,0,1.45,0,1.45,1.45
上市,2325,矽品,2003,2004/06/11,2004/08/02,20,2004/08/02,20,,0.35,0,0.35,1,0,1,1.35
上市,2325,矽品,2004,2005/06/13,2005/07/28,30.9,2005/07/28,30.9,,0.75,0,0.75,0.8,0,0.8,1.55
上市,2325,矽品,2005,2006/06/12,2006/08/01,33.8,2006/08/01,33.8,,1.66,0,1.66,0.96,0,0.96,2.63
上市,2325,矽品,2006,2007/06/13,2007/07/27,64.1,2007/07/27,64.1,,3.35,0,3.35,0.2,0,0.2,3.55
上市,2325,矽品,2007,2008/06/13,2008/07/24,43.35,2008/07/24,43.35,,4.5,0,4.5,0.1,0,0.1,4.6
上市,2325,矽品,2008,2009/06/10,2009/07/13,39.7,,,,1.8,0,1.8,0,0,0,1.8
上市,2325,矽品,2009,2010/06/15,2010/07/12,35.2,,,,2.58,0,2.58,0,0,0,2.58
上市,2325,矽品,2010,2011/06/22,2011/07/18,30.25,,,,1.62,0,1.62,0,0,0,1.62
上市,2325,矽品,2011,2012/06/19,2012/07/16,28.35,,,,1.42,0,1.42,0,0,0,1.42
上市,2325,矽品,2012,2013/06/14,2013/07/15,35.95,,,,1.35,0.3,1.65,0,0,0,1.65
上市,2325,矽品,2013,2014/06/20,2014/07/16,48.05,,,2014/08/13,1.8,0,1.8,0,0,0,1.8
上市,2325,矽品,2014,2015/06/16,2015/07/23,38.55,,,2015/08/21,3,0,3,0,0,0,3
上市,2325,矽品,2015,2016/05/16,2016/06/23,47.9,,,2016/07/21,2.8,1,3.8,0,0,0,3.8
上市,2325,矽品,2016,2017/06/28,2017/08/02,48.25,,,2017/08/25,1.75,0,1.75,0,0,0,1.75
