上市,3356,奇偶,2002,2003/06/13,,,2003/10/07,,,0,0,0,5.9,0,5.9,5.9
上市,3356,奇偶,2004,2005/06/17,2005/07/22,103.5,2005/07/22,103.5,,3.3,0,3.3,2.2,0,2.2,5.5
上市,3356,奇偶,2005,2006/06/14,2006/06/29,114,,,,7.5,0,7.5,0,0,0,7.5
上市,3356,奇偶,2006,2007/06/13,2007/07/02,196,,,,8.8,0,8.8,0,0,0,8.8
上市,3356,奇偶,2007,2008/06/13,2008/07/01,160,,,,11,0,11,0,0,0,11
上市,3356,奇偶,2008,2009/06/10,2009/07/07,140.5,,,,10,0,10,0,0,0,10
上市,3356,奇偶,2009,2010/06/14,2010/07/12,110,,,,8,0,8,0,0,0,8
上市,3356,奇偶,2010,2011/06/10,2011/07/26,110.5,2011/07/26,110.5,,4.98,0,4.98,1,0,1,5.98
上市,3356,奇偶,2011,2012/06/14,2012/07/17,107.5,2012/07/17,107.5,,7,0,7,0.3,0,0.3,7.3
上市,3356,奇偶,2012,2013/06/10,2013/07/16,135,2013/07/16,135,,6.7,0,6.7,1,0,1,7.7
上市,3356,奇偶,2013,2014/06/12,2014/07/18,136.5,2014/07/18,136.5,2014/08/27,7.2,0,7.2,1,0,1,8.2
上市,3356,奇偶,2014,2015/06/11,2015/10/01,79.2,2015/10/01,79.2,2015/11/05,5.4,0,5.4,1,0,1,6.4
上市,3356,奇偶,2015,2016/06/14,2016/08/11,55.9,2016/08/11,55.9,2016/09/23,4,0,4,0.1,0,0.1,4.1
上市,3356,奇偶,2016,2017/06/08,2017/11/02,36.75,2017/11/02,36.75,2017/12/08,0.58,0.42,0.99,0.5,0.99,1.49,2.48
