上市,2886,兆豐金,2001,2002/06/12,,,2002/07/24,,,0,0,0,0,1.04,1.04,1.04
上市,2886,兆豐金,2002,2003/06/06,2003/08/04,15.5,2003/08/04,15.5,,0.4,0,0.4,0.4,0,0.4,0.8
上市,2886,兆豐金,2003,2004/06/11,2004/08/04,19.1,,,,1.54,0,1.54,0,0,0,1.54
上市,2886,兆豐金,2004,2005/06/10,2005/09/29,20.35,,,,1.53,0,1.53,0,0,0,1.53
上市,2886,兆豐金,2005,2006/06/23,2006/07/25,21.05,,,,1.55,0,1.55,0,0,0,1.55
上市,2886,兆豐金,2006,2007/06/15,2007/08/02,20.55,,,,1.5,0,1.5,0,0,0,1.5
上市,2886,兆豐金,2007,2008/06/13,2008/08/06,19.45,,,,1.25,0,1.25,0,0,0,1.25
上市,2886,兆豐金,2008,2009/06/19,2009/07/30,17.3,,,,0.25,0,0.25,0,0,0,0.25
上市,2886,兆豐金,2009,2010/06/23,2010/08/11,19.45,,,,1,0,1,0,0,0,1
上市,2886,兆豐金,2010,2011/06/28,2011/08/23,23.55,2011/08/23,23.55,,0.9,0,0.9,0.2,0,0.2,1.1
上市,2886,兆豐金,2011,2012/06/15,2012/08/08,22.85,2012/08/08,22.85,,0.85,0,0.85,0.15,0,0.15,1
上市,2886,兆豐金,2012,2013/06/21,2013/08/13,23.7,,,,1.1,0,1.1,0,0,0,1.1
上市,2886,兆豐金,2013,2014/06/24,2014/08/13,25.15,,,2014/09/05,1.11,0,1.11,0,0,0,1.11
上市,2886,兆豐金,2014,2015/06/26,2015/08/13,23.35,,,2015/09/04,1.4,0,1.4,0,0,0,1.4
上市,2886,兆豐金,2015,2016/06/24,2016/08/15,24.5,,,2016/09/02,1.5,0,1.5,0,0,0,1.5
上市,2886,兆豐金,2016,2017/06/16,2017/08/10,24.3,,,2017/09/01,1.42,0,1.42,0,0,0,1.42
