上市,2417,圓剛,1996,1997/04/25,,,1997/06/12,,,0.3,0,0.3,3.4,0.6,4,4.3
上市,2417,圓剛,1997,1998/05/15,,,1998/06/26,,,0,0,0,2,2,4,4
上市,2417,圓剛,1998,1999/05/12,,,1999/07/07,,,0,0,0,0.6,1.5,2.1,2.1
上市,2417,圓剛,1999,2000/05/24,,,2000/06/30,,,0,0,0,2,0,2,2
上市,2417,圓剛,2000,2001/05/22,,,2001/07/05,17.7,,0,0,0,1.5,0,1.5,1.5
上市,2417,圓剛,2001,2002/05/21,2002/07/11,,2002/07/11,,,0.51,0,0.51,0.51,0,0.51,1.02
上市,2417,圓剛,2002,2003/05/28,2003/07/07,34.8,2003/07/07,34.8,,0.79,0,0.79,0.79,0.2,0.99,1.78
上市,2417,圓剛,2003,2004/05/18,2004/06/29,28,2004/06/29,28,,1.52,0,1.52,0.86,0.15,1.02,2.54
上市,2417,圓剛,2004,2005/05/17,2005/06/29,27.1,2005/06/29,27.1,,1.57,0,1.57,1.22,0.03,1.26,2.83
上市,2417,圓剛,2005,2006/06/09,2006/07/13,34.05,2006/07/13,34.05,,1.37,0,1.37,1,0,1,2.37
上市,2417,圓剛,2006,2007/06/15,2007/07/20,55.7,2007/07/20,55.7,,2,0,2,0.36,0,0.36,2.37
上市,2417,圓剛,2007,2008/06/13,2008/07/14,37.9,2008/07/14,37.9,,2.2,0,2.2,0.8,0,0.8,3
上市,2417,圓剛,2008,2009/06/10,2009/07/09,33.3,2009/07/09,33.3,,2.4,0,2.4,0.1,0,0.1,2.5
上市,2417,圓剛,2009,2010/06/15,2010/07/08,40.9,,,,2.7,0,2.7,0,0,0,2.7
上市,2417,圓剛,2010,2011/06/15,2011/07/01,33.55,,,,3.17,0,3.17,0,0,0,3.17
上市,2417,圓剛,2011,2012/06/13,2012/07/04,21.6,,,,2,0,2,0,0,0,2
上市,2417,圓剛,2012,2013/06/18,2013/07/09,12.6,,,,0.4,0,0.4,0,0,0,0.4
上市,2417,圓剛,2013,2014/06/19,2014/07/10,12.85,,,,0,0.1,0.1,0,0,0,0.1
上市,2417,圓剛,2014,2015/06/17,2015/07/13,11.7,,,2015/08/07,0,0.1,0.1,0,0,0,0.1
上市,2417,圓剛,2015,2016/06/14,2016/07/12,9.52,,,2016/08/12,0,0.1,0.1,0,0,0,0.1
上市,2417,圓剛,2016,2017/06/14,2017/07/10,10.5,,,2017/08/11,0,0.1,0.1,0,0,0,0.1
