ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计,RSV,K9
2016/08/26,100000,326000,3.26,3.26,3.26,3.26,+0.04,2
2016/08/29,100000,326000,3.26,3.26,3.26,3.26,0.00,3
2016/08/30,95000,313500,3.3,3.3,3.3,3.3,+0.04,13
2016/08/31,106000,349800,3.3,3.3,3.3,3.3,0.00,3
2016/09/01,160000,528000,3.3,3.3,3.3,3.3,0.00,4
2016/09/02,189000,623700,3.3,3.3,3.3,3.3,0.00,3
2016/09/05,102000,336520,3.26,3.3,3.26,3.3,0.00,6
2016/09/06,100000,326000,3.26,3.26,3.26,3.26,-0.04,3
2016/09/07,106000,349800,3.3,3.3,3.3,3.3,+0.04,7
2016/09/08,100000,327000,3.27,3.27,3.27,3.27,-0.03,5
2016/09/09,110000,367400,3.34,3.34,3.34,3.34,+0.07,7
2016/09/10,100000,321000,3.21,3.21,3.21,3.21,-0.13,6
2016/09/12,100000,319000,3.19,3.19,3.19,3.19,-0.02,5
2016/09/13,100000,318000,3.18,3.18,3.18,3.18,-0.01,3
2016/09/14,101000,318150,3.15,3.15,3.15,3.15,-0.03,5
2016/09/19,101000,324210,3.21,3.21,3.21,3.21,+0.06,6
2016/09/20,148000,486920,3.29,3.29,3.29,3.29,+0.08,3
2016/09/21,100000,320000,3.2,3.2,3.2,3.2,-0.09,5
2016/09/22,100000,323000,3.23,3.23,3.23,3.23,+0.03,4
2016/09/23,100000,323000,3.23,3.23,3.23,3.23,0.00,5
2016/09/26,100000,320000,3.2,3.2,3.2,3.2,-0.03,5
2016/09/29,100000,317000,3.17,3.17,3.17,3.17,-0.03,4
2016/09/30,100000,323000,3.23,3.23,3.23,3.23,+0.06,6
2016/10/03,0,0,,,,,0.00,0
2016/10/04,102000,324360,3.18,3.18,3.18,3.18,X0.00,6
2016/10/05,102000,325380,3.19,3.19,3.19,3.19,+0.01,6
2016/10/06,100000,322000,3.22,3.22,3.22,3.22,+0.03,13
2016/10/07,100000,323000,3.23,3.23,3.23,3.23,+0.01,9
2016/10/11,100000,323000,3.23,3.23,3.23,3.23,0.00,7
2016/10/12,100000,325000,3.25,3.25,3.25,3.25,+0.02,4
2016/10/13,100000,326000,3.26,3.26,3.26,3.26,+0.01,4
2016/10/14,102000,329460,3.23,3.23,3.23,3.23,-0.03,6
2016/10/17,100000,327000,3.27,3.27,3.27,3.27,+0.04,4
2016/10/18,148000,475080,3.21,3.21,3.21,3.21,-0.06,8
2016/10/19,100000,329000,3.29,3.29,3.29,3.29,+0.08,4
2016/10/20,100000,329000,3.29,3.29,3.29,3.29,0.00,5
2016/10/21,100000,329000,3.29,3.29,3.29,3.29,0.00,4
2016/10/24,100000,333000,3.33,3.33,3.33,3.33,+0.04,2
2016/10/25,100000,328000,3.28,3.28,3.28,3.28,-0.05,3
2016/10/26,100000,328000,3.28,3.28,3.28,3.28,0.00,3
2016/10/27,100000,328000,3.28,3.28,3.28,3.28,0.00,3
2016/10/28,100000,328000,3.28,3.28,3.28,3.28,0.00,3
2016/10/31,100000,322000,3.22,3.22,3.22,3.22,-0.06,3
2016/11/01,100000,326000,3.26,3.26,3.26,3.26,+0.04,3
2016/11/02,100000,329000,3.29,3.29,3.29,3.29,+0.03,3
2016/11/03,100000,325000,3.25,3.25,3.25,3.25,-0.04,4
2016/11/04,100000,327000,3.27,3.27,3.27,3.27,+0.02,3
2016/11/07,100000,325000,3.25,3.25,3.25,3.25,-0.02,3
2016/11/08,100000,325000,3.25,3.25,3.25,3.25,0.00,3
2016/11/09,0,0,,,,,0.00,0
2016/11/10,100000,327000,3.27,3.27,3.27,3.27,X0.00,3
2016/11/11,100000,327000,3.27,3.27,3.27,3.27,0.00,2
2016/11/14,100000,328000,3.28,3.28,3.28,3.28,+0.01,2
2016/11/15,100000,324000,3.24,3.24,3.24,3.24,-0.04,2
2016/11/16,0,0,,,,,0.00,0
2016/11/17,100000,327000,3.27,3.27,3.27,3.27,X0.00,2
2016/11/18,100000,329000,3.29,3.29,3.29,3.29,+0.02,2
